,company_name,phone,email
413,Wow Pest Control,661-418-7378,Samuel.dejong@wowpest.com
414,Year Around Termite & PC,310-542-4890,phil545@aol.com
415,Zamaak,650-921-2743,tiznadoa@yahoo.com
416,Zap Termite & Pest Control,916-987-9094,mrzap@zappest.com
417,Zenith Environmental Pest Control,818-990-6332,krauszlaw15915@aol.com
418,1st Stryke Pest & Termite Solutions,310-995-2896,info@1ststrykesolutions.com
419,49'er Pest Control,530-677-7923,49ertermiteandpestcontrol@gmail.com
420,A 1 Termite & Pest Control Inc,213-388-4506,mikemhnam@aol.com
421,AAI Termite & Pest Control Inc,209-545-0789,acctgrp@aaipest.com
422,"ABBA Termite & Pest Control, Inc.",562-698-9866,sam.bert@yahoo.com
423,"Access Exterminator Service, Inc.",714-630-6310,russ@accessext.com
424,Accu-Tech Exterminators,818-826-3329,marangonef@aol.com
425,Accurate Termite & Pest Solutions,707-725-3896,accuratepest707@gmail.com
426,Advanced Integrated Pest Management,916-786-2404,dscott@advancedipm.com
427,Aftermath Exterminating,619-722-6428,None
428,All-Pro Termite & Pest Control,760-242-2344,mglassey@verizon.net
429,Already a Better Choice Termite & Pest Control Inc,626-401-0058,alreadyabetterchoiceinc@gmail.com
430,Antique Termite Inc,408-995-6300,info@antiquetermite.com
431,Anytime Termite Control,657-859-6133,afcforensic@gmail.com
432,Apollo Termite Control,949-766-8330,apollotermite@aol.com
433,Area Wide Exterminators,209-464-4731,awe6912@aol.com
434,Aubreys Termite & Carpenter Ant Specialist,909-633-4869,aubreystermite@yahoo.com
435,Ax Termite Control,925-687-9977,paul@axtermite.com
436,Beach Cities Termite,714-658-2996,allank91301@gmail.com
437,Better Pest Control Inc,559-294-8286,jerry@fresnolink.net
438,BG Inspections & Pest Control,707-410-7907,beetleman@comcast.net
439,"BPC, Inc",805-650-6828,pat@bpcx.com
440,"Brezden Pest Control, Inc.",805-544-9446,sales@brezdenpest.com
441,Cal State Termite & Pest Ctl,559-896-9320,None
442,California Pest Control,209-992-1190,calpestcontrol@gmail.com
443,Cascade Pest Systems,707-446-7760,michael@cascadepestsystems.com
444,Castech Pest Services,559-276-6600,dave@castechpest.com
445,Central Coast Termite,805-489-3070,cctermite@charter.net
446,Chem Free Inc,562-984-2525,chemfreemurphy@aol.com
447,Coastside Termite,650-726-6757,peter@coastsidetermite.com
448,Community Pest Control,626-577-4198,abias@prodigy.net
449,Contra Costa Termite Control,925-680-7665,cctermite@earthlink.net
450,"CVS Services, Inc",949-583-9616,cvsservices@cox.net
451,Cypress Termite-Construction Company,831-372-1972,cypresstermite@gmail.com
452,Desert Pacific Exterminators,760-365-4912,n2marbles@roadrunner.com
453,"Diodati, Inc DbaGolden Gate Termite Control",650-348-2777,goldengatetermite@gmail.com
454,"Donatelli's Fat Cat Exterminators, Inc",800-797-7329,tazmandd@yahoo.com
455,Doug's Bugs,707-284-1084,info@dougs-bugs.com
456,Dustin Pest Control,559-275-2253,dustinpestcontrol@sbcglobal.net
457,"East Bay Structural & Termite Co., Inc.",510-652-4712,office@eastbaystructural.com
458,East Valley Termite Company,925-443-6040,eastvalleytermite@sbcglobal.net
459,"Eco Home Safe, Inc.",818-886-2812,ecohomesafe@hotmail.com
460,Ed Watson Termite Control,831-392-1422,KrSamb@aol.com
461,Escalade Termite and Repair Inc,916-250-4008,escaladetermite@aol.com
462,Escalera Pest Control,805-964-4651,None
463,Everready,805-633-9266,amyb@ertpc.com
464,Excellence Pest Control & Termites,323-401-0008,contact@excellencepestcontrol.com
465,Feather River Termite,530-533-6954,featherrivertermite@orocom.net
466,"Fungus Fighters Termite & Construction, Inc",707-557-5093,ffighters@sbcglobal.net
467,Galvinized Termite and Pest Control,626-287-6683,galvinizedtpc@gmail.com
468,Gauden Exterminating,209-599-3692,termiteman@charter.net
469,Golden Empire Pest Control,661-588-2744,goldenempirepestcontrol@aol.com
470,Gordon Termite Control Inc,562-925-5800,bobgordon@gordontermite.com
471,Griffin Pest Management,888-400-9011,tjs@griffinpestmgmt.com
472,"H R Wellington Construction, Inc",415-239-1700,jameshicks@wellingingtoninspection.onmicrosoft
473,Hi Tech Termite of the Bay Area,888-322-8889,sales@hitechtermite.com
474,Highlander Termite Control,530-672-8585,office@highlandertermite.com
475,Hines Pest & Weed Control,831-688-3391,None
476,"Home Defenders Termite/Pest Mgmt, Inc",909-337-8623,homedefenders@yahoo.com
477,Hydrex PC-Santa Clara County,408-978-0211,hydrexjason@gmail.com
478,Inside Out Pest Control,805-658-2994,melissap262@sbcglobal.net
479,JALD Enterprises Dba Accurate Termite Control,949-837-6483,jim@accuratetermitecontrol.com
480,John Charles Evans Inc,310-398-0018,jcevanstermite@sbcglobal.net
481,John Taylor Termite Company,925-757-6755,johnntaylortermite@sbcglobal.net
482,Kennedy Pest Control Inc,760-630-5975,kennedypest@aol.com
483,Kevins Termite,925-787-7179,kevintermite@yahoo.com
484,Lassen Pest Control,530-253-2232,dryrot@frontiernet.net
485,LCS Termite Company,323-357-1430,lcstermite@yahoo.com
486,Lingruen Associates,415-822-2324,lingruen.dh@sbcglobal.net
487,Major League Pest,760-737-6810,paul@majorleaguepest.com
488,"Mann Vs Pest, Inc",619-674-7253,jerome@mannvspest.com
489,Marin Termite Control Co,415-456-9620,marinterm@aol.com
490,Mercury Termite & Pest Control,626-858-5300,mercurytermite@verizon.net
491,Neighborly Pest Mgmt  Inc,916-782-3767,jim@neighborlypest.com
492,Northstar Exterminators,909-877-1810,lylerevans@outlook.com
493,Northstar Exterminators-West,909-877-1810,mattsevans@live.com
494,NU-Tech Pest Management,805-928-3839,nu.tech@verizon.net
495,"Ojai Termite & Pest Control, Inc",805-646-6504,bugs@ojaitermite.com
496,On Site Inspections,650-952-5173,steve@onsiteinspections.com
497,"Payne Pest Management, Inc.",858-277-2228,wpayne@paynepestmgmt.com
498,Pegasus Pest Control,916-428-0578,None
499,"Pest Detective, Inc.",916-652-5987,pestdetective@sbcglobal.net
500,Quality Pest Control,909-593-4151,None
501,Quantum Termite & Construction,714-630-7416,marc@quantumtermite.com
502,Rob Bowlen Termite Co,925-383-6001,robbowlen@comcast.net
503,Robert May Termite/Pest Mgmt,909-337-0353,info@maypestcontrol.com
504,Ruddock's Termite Control,818-982-9827,None
505,"Sandman Termite Co Inc, The",408-265-7400,sandman2102@aol.com
506,Scenic Coast Termite Control,805-226-8686,sctermite1@yahoo.com
507,Sheppard Termite Services,707-208-2102,sheppardtermite@sbcglobal.net
508,Sierra Termite Control Inc,562-493-5700,darrylschultz@mac.com
509,"Simonsen Termite & Structural Pest Control, Inc.",415-524-6245,jeffsimonsen@sbcglobal.net
510,Sloan's Exterminators,805-647-4288,sloans1@sbcglobal.net
511,Sobrino's Termite & Pest Control,805-498-3026,sobrinotermite@verizon.net
512,Southwood Pest Control,714-579-7855,southwoodpest@aol.com
513,Standard Termite & Pest Ctl,530-626-9694,jerry@termiteandpest.com
514,Stellar Termite Services,707-575-7827,mike@stellar-termite.com
515,Steve Howell Termite Control,831-375-2115,SteveHowell@MontereyTermite.com
516,Strickland Termite Control,707-443-3831,stricktermite@gmail.com
517,Structural Termite & PC Inc,951-687-7413,dasbell@sbcglobal.net
518,"Sunwest Exterminators, Inc.",951-789-6040,sunwestext@aol.com
519,"Tanler Environmental Services, Inc",310-673-7378,daisy@tanlertermite.com
520,"Taps Termite & Pest Specialists, Inc.",408-259-5900,tapsterm@gmail.com
521,Target Pest Control,831-424-7308,None
522,"Tehachapi Pest Control, Inc.",661-822-6600,None
523,Termite Inspection Experts,925-487-9153,fernandohr111@att.net
524,The Buena Vista Company,707-838-6291,buenavco@aol.com
525,The No Nonsense Termite Company Inc.,714-635-5111,nononsenseman@aol.com
526,"Thrasher Termite/Pest Control, Inc.",408-354-9944,JThrasher@thrashertermite.com
527,Tombstone Termite,951-781-8662,mscgreens@charter.net
528,Top Notch Termite Co. Inc,619-282-8771,tnt@topnotchtermite.com
529,Trinity Termite & Pest Control,530-222-6990,trinitytermite@yahoo.com
530,"Twin Termite, Pest Control & Construction, Inc.",916-344-8946,kyle@twintermite.com
531,United Termite and Home Services,916-265-5300,pauljr@unitedths.com
532,Unix Exterminating Company,626-914-1986,jredenbaugh@ymail.com
533,Valley View Termite Control,925-787-2118,valleyviewtc@gmail.com
534,Ventura Pest Control,805-656-1545,chuck@venturapest.com
535,"Vital Signs Prof Real Estate Serv., Inc.",310-326-6939,harold@vitalsignstermite.com
536,W.A. Stone Termite's  Alternative To Fumigation,760-743-2847,control@wastone.com
537,Wallace Termite & Construction,925-706-2424,wtcmite@comcast.net
538,We Care Pest Solutions,707-573-5899,bradwecare@comcast.net
539,Willis Exterminators,760-597-1031,willis.exterminators@gmail.com
540,Zap Termite & Pest Control,916-987-9094,mrzap@zappest.com
541,4-Less Termite Control,831-465-1699,4less@sbcglobal.net
542,49'er Pest Control,530-677-7923,49ertermiteandpestcontrol@gmail.com
543,A 1 Termite & Pest Control Inc,213-388-4506,mikemhnam@aol.com
544,"A-1 Bonded Termite, Inc.",714-502-9230,connie@a1bondedtermite.com
545,A-1 Exterminators,209-465-5834,a-1exterminators@hotmail.com
546,AAI Termite & Pest Control Inc,209-545-0789,acctgrp@aaipest.com
547,Aardvark Ant & Pest Control Inc.,619-579-5020,aardvark@sdcoxmail.com
548,"ABBA Termite & Pest Control, Inc.",562-698-9866,sam.bert@yahoo.com
549,"Access Exterminator Service, Inc.",714-630-6310,russ@accessext.com
550,Accurate Termite & Pest Solutions,707-725-3896,accuratepest707@gmail.com
551,"Acme Termite Company, Inc.",714-465-2041,ken@acmetermite.com
552,Acnow Termite & Pest Control Inc,760-241-4477,acnowtermite@yahoo.com
553,Admiral Pest Control Inc,562-925-8308,jeff@admiralpest.com
554,Advanced Integrated Pest Management,916-786-2404,dscott@advancedipm.com
555,Aftermath Exterminating,619-722-6428,None
556,Agricultural Pest Control Serv,858-536-2999,agrpest@aol.com
557,Algon Exterminating Co,619-561-1991,merry@algonpest.com
558,All-Pro Termite & Pest Control,760-242-2344,mglassey@verizon.net
559,Aloha Commerical Pest Services,323-263-7359,info@alohabugs.com
560,Alpine Exterminators/Westfall,626-338-8282,None
561,Already a Better Choice Termite & Pest Control Inc,626-401-0058,alreadyabetterchoiceinc@gmail.com
562,"AMS PC, IncDBA: Orkin Pest Control of No. Calif.",530-566-1749,jshale939@sbcglobal.net
563,Anna Montague & Claude English Partnership,760-961-8872,None
564,Antique Termite Inc,408-995-6300,info@antiquetermite.com
565,Anytime Termite Control,657-859-6133,afcforensic@gmail.com
566,Apollo Termite Control,949-766-8330,apollotermite@aol.com
567,Ararat Exterminators,925-682-7020,araratexterminators@gmail.com
568,Area Wide Exterminators,209-464-4731,awe6912@aol.com
569,Aspen Pest Management,530-753-7378,haruspex@pobox.com
570,ATCO Pest Control,415-898-2282,richard@atcopestcontrol.com
571,Aubreys Termite & Carpenter Ant Specialist,909-633-4869,aubreystermite@yahoo.com
572,Ax Termite Control,925-687-9977,paul@axtermite.com
573,"Ban-A-Pest Pest, Inc.",310-673-0776,banapest@aol.com
574,"Bateman Termite Control and Pest Control, Inc.",310-214-2800,RCRMAN@aol.com
575,Beach Cities Termite,714-658-2996,allank91301@gmail.com
576,Best Rate Termite,760-546-4239,jeff@best-rate-repair.com
577,Better Pest Control Inc,559-294-8286,jerry@fresnolink.net
578,BG Inspections & Pest Control,707-410-7907,beetleman@comcast.net
579,Biovent Termite,866-981-5301,gee@bioventtermite.com
580,Blairs Termite,818-771-1353,blairstc@att.net
581,Borite Termite & Pest Treatments Corp.,818-386-0502,jack@borite.com
582,"Bouey Termite Service, Inc.",916-733-0520,boueypest@yahoo.com
583,"BPC, Inc",805-650-6828,pat@bpcx.com
584,"Brezden Pest Control, Inc.",805-544-9446,sales@brezdenpest.com
585,"Bugman Termite & PC, The",714-992-1292,brian@thebugman.com
586,"Builders Termite, Inc.",562-278-2601,Builders.termite@att.net
587,C H Boddie Pest Control Inc.,310-839-9270,carlton@boddiepestmanagement.com
588,Cal Coast Termite & Pest Control,562-422-3566,info@calcoasttermite.com
589,Cal State Termite & Pest Ctl,559-896-9320,None
590,California Pest Control,209-992-1190,calpestcontrol@gmail.com
591,Capstone Extermination Services,408-923-2894,erickchapman@hotmail.com
592,Carmel Valley Pest Control,858-350-8838,office@carmelvalleypc.com
593,Cascade Pest Systems,707-446-7760,michael@cascadepestsystems.com
594,Casner Exterminating Inc.,831-757-6000,wbellville@casnerexterminating.com
595,Castech Pest Services,559-276-6600,dave@castechpest.com
596,CATS USA Pest Control,818-506-1000,ytada@catspestcontrol.com
597,Central Coast Termite,805-489-3070,cctermite@charter.net
598,Chem Free Inc,562-984-2525,chemfreemurphy@aol.com
599,Circle Kustom Exterminators,951-340-0031,termitesll@aol.com
600,Class Termite & Pest Control,310-328-7781,classtermite@yahoo.com
601,Coast Chem Exterminating,562-981-8433,None
602,Coastside Termite,650-726-6757,peter@coastsidetermite.com
603,Community Pest Control,626-577-4198,abias@prodigy.net
604,Contra Costa Termite Control,925-680-7665,cctermite@earthlink.net
605,Craig's Termite Co. Inc,714-785-0008,craigdebeauv@yahoo.com
606,CSI Exterminators,559-294-1779,jslusher@csi-ext.com
607,CVA Exterminators,661-775-4981,mail@cvaexterminators.com
608,"CVS Services, Inc",949-583-9616,cvsservices@cox.net
609,Cypress Termite-Construction Company,831-372-1972,cypresstermite@gmail.com
610,"D & R Termite Inspections, Inc.",707-773-3550,None
611,"D & S Termite, Pest Control  & Fumigations    (AMBD Inc)",619-462-5577,termitegrl@aol.com
612,Dan Eastham Termite Control,559-594-4388,dantermite@gmail.com
613,Davis Termite & Pest Co.,909-657-7378,davistermiteandpestco@gmail.com
614,"DeAnza Termite & Pest Control, Inc",951-677-8770,mail@deanzatermite.com
615,Desert Pacific Exterminators,760-365-4912,n2marbles@roadrunner.com
616,"Diodati, Inc DbaGolden Gate Termite Control",650-348-2777,goldengatetermite@gmail.com
617,Donald W Crow Termite Control,310-371-7411,None
618,"Donatelli's Fat Cat Exterminators, Inc",800-797-7329,tazmandd@yahoo.com
619,Doug's Bugs,707-284-1084,info@dougs-bugs.com
620,Dustin Pest Control,559-275-2253,dustinpestcontrol@sbcglobal.net
621,E & K Pest Control,562-694-3441,None
622,Earthwise Pest Management,916-668-8888,info@myearthwisepest.com
623,"East Bay Structural & Termite Co., Inc.",510-652-4712,office@eastbaystructural.com
624,East Valley Termite Company,925-443-6040,eastvalleytermite@sbcglobal.net
625,"Eco Home Safe, Inc.",818-886-2812,ecohomesafe@hotmail.com
626,Ecola Services of Southern California,818-920-7301,info@ecolatermite.com
627,Ed Watson Termite Control,831-392-1422,KrSamb@aol.com
628,"Eliminite Termite Services, Inc",619-334-0051,barry@eliminitetermite.com
629,Enviro-Care Pest/Termite Ctl,714-744-1411,geoffvint@aol.com
630,Escalade Termite and Repair Inc,916-250-4008,escaladetermite@aol.com
631,Escalera Pest Control,805-964-4651,None
632,Everready,805-633-9266,amyb@ertpc.com
633,Excellence Pest Control & Termites,323-401-0008,contact@excellencepestcontrol.com
634,Exterminetics of So California,714-835-1887,exterminetics@earthlink.net
635,Family Exterminator,909-946-0045,familytermite@aol.com
636,Far East Pest Control,626-289-9348,fareastpestcontrol@earthlink.net
637,Feather River Termite,530-533-6954,featherrivertermite@orocom.net
638,Fisk Termite Control Inc,510-237-7966,fisktermite@sbcglobal.net
639,Fraboni Termite Control Inc,408-287-8111,None
640,Franz Termite Control Corp,650-493-0445,mjudas@franztermite.com
641,Frazier Pest Control Inc,760-328-6115,julie@frazierpestcontrol.com
642,Fumigation Direct Inc.,760-521-0327,fumigationdirectinc@gmail.com
643,"Fungus Fighters Termite & Construction, Inc",707-557-5093,ffighters@sbcglobal.net
644,Galvinized Termite and Pest Control,626-287-6683,galvinizedtpc@gmail.com
645,Gauden Exterminating,209-599-3692,termiteman@charter.net
646,Giant Jim Pest Control,209-836-3931,giantjims@yahoo.com
647,Gold Coast Pest Control,805-494-3430,gold_coast_pest@verizon.net
648,Golden Empire Pest Control,661-588-2744,goldenempirepestcontrol@aol.com
649,Gordon Termite Control Inc,562-925-5800,bobgordon@gordontermite.com
650,Greenleaf Organic Pest Mgmt,818-752-9989,mark.greenleafpest@gmail.com
651,Griffin Pest Management,888-400-9011,tjs@griffinpestmgmt.com
652,"H R Wellington Construction, Inc",415-239-1700,jameshicks@wellingingtoninspection.onmicrosoft
653,"Harmon Pest Control, Inc",209-522-1475,info@harmonpestcontrolinc.com
654,Heat Solutions,818-252-5659,chris.heatsolutions@gmail.com
655,"Hi Tech Termite Control, Inc",858-874-5770,jwhitcomb@hi-techtermitecontrol.com
656,Hi Tech Termite of the Bay Area,888-322-8889,sales@hitechtermite.com
657,Highlander Termite Control,530-672-8585,office@highlandertermite.com
658,Holland's Red Alert Pest Ctl,562-577-4664  cell,redalertpestcontrol@yahoo.com
659,"Home Defenders Termite/Pest Mgmt, Inc",909-337-8623,homedefenders@yahoo.com
660,Horizon Pest Management,925-250-9314,deltaops66@aol.com
661,Hydrex PC-Sacramento,916-447-3922,None
662,Hydrex PC-San Diego,858-695-0455,None
663,Hydrex PC-Santa Clara County,408-978-0211,hydrexjason@gmail.com
664,Hydrex Pest Control of Glendale Burbank,818-248-5186,hydrexgb@hydrex.com
665,I.V. Termite & Pest Control,760-352-4132,bluelake@hotmail.com
666,Innova Termite & Pest Control Inc.,408-596-9368,patti@innovatermite.com
667,Innovative Pest Management,310-322-1999,None
668,Inside Out Pest Control,805-658-2994,melissap262@sbcglobal.net
669,J & M Termite Control Inc,650-969-5556,jmtermite@netscape.net
670,J.K. Control Inc,415-468-2002,None
671,JALD Enterprises Dba Accurate Termite Control,949-837-6483,jim@accuratetermitecontrol.com
672,John Charles Evans Inc,310-398-0018,jcevanstermite@sbcglobal.net
673,John Kowan Termite Control,310-540-2395,kowantermite@verizon.net
674,John Taylor Termite Company,925-757-6755,johnntaylortermite@sbcglobal.net
675,Joshua's  Pest Control,858-547-9900,jwalton@moxiepestcontrol.com
676,"JP Termite, Inc",310-677-1140,jptermite@sbcglobal.net
677,"Just Right Termite, Inc",619-415-5966,justrighttermite@cox.net
678,Ken Carroll Termite Company,408-806-1391,ken@kctermite.com
679,Kennedy Pest Control Inc,760-630-5975,kennedypest@aol.com
680,Kevins Termite,925-787-7179,kevintermite@yahoo.com
681,King Termite Control Inc,818-848-9877,None
682,Kurt & Kyle Pest Control,805-652-7489,kurtandkylepestcontrol@yahoo.com
683,Lassen Pest Control,530-253-2232,dryrot@frontiernet.net
684,LCS Termite Company,323-357-1430,lcstermite@yahoo.com
685,Legion Pest Management,951-219-6588,legionpest@gmail.com
686,Level Extermination,530-241-1598,levelx@att.net
687,Lingruen Associates,415-822-2324,lingruen.dh@sbcglobal.net
688,Liongate Pest Control,818-353-4800,liongatepest@verizon.net
689,Major League Pest,760-737-6810,paul@majorleaguepest.com
690,"Mann Vs Pest, Inc",619-674-7253,jerome@mannvspest.com
691,Marin Termite Control Co,415-456-9620,marinterm@aol.com
692,Marty Chance Exterminating,310-534-1677,mcexterm@aol.com
693,Mendo Lake Termite Control,707-964-7909,mltc2@comcast.net
694,Mercury Termite & Pest Control,626-858-5300,mercurytermite@verizon.net
695,Michael Ross Termite Control,530-273-6556,mikeross@ncws.com
696,Mid-Valley Termite Insp Svcs,530-872-1888,bugnuker@comcast.net
697,Mighty Bug Exterminators,714-635-8201,None
698,Millennium Termite Control,916-362-4400,be@mtpest.com
699,Morales Exterminating Company,626-572-7363,robert@moralesext.com
700,Morgan Bros./San Joaq.Pest Ctl,559-291-2200,sj_pc@yahoo.com
701,Morgan Termite Control Inc,626-968-9371,2morgan.tc@gmail.com
702,Morse Termite & Pest Control,559-325-9400,info@morsepest.com
703,Mountain Home Pest Control,831-338-0888,mountainhomepestcontrol@hotmail.com
704,N Service Pest Management,626-926-6081,ch9ky4@aol.com
705,Neighborly Pest Mgmt  Inc,916-782-3767,jim@neighborlypest.com
706,"NixTermite, Inc.",619-472-6666,customerservice@nixtermite.com
707,Northstar Exterminators,909-877-1810,lylerevans@outlook.com
708,Northstar Exterminators-West,909-877-1810,mattsevans@live.com
709,NU-Tech Pest Management,805-928-3839,nu.tech@verizon.net
710,"Ojai Termite & Pest Control, Inc",805-646-6504,bugs@ojaitermite.com
711,On Site Inspections,650-952-5173,steve@onsiteinspections.com
712,"Onstar Pest Control, Inc",209-652-2407,onstarpco@aol.com
713,Osborn Spray Service,925-837-4140,osbornspray@sbcglobal.net
714,"Otto Exterminating Co., Inc",818-200-3146,ottoexterminating@sbcglobal.net
715,"Pacific Coast Termite, Inc",714-669-1730,dennis@pacificcoasttermite.com
716,Palomar Termite & Pest Control,760-738-8212,palomartermite@hotmail.com
717,Paramount Pest Services,559-277-4333,None
718,Parish Termite & Pest Management Inc,916-745-3801,info@parish-pest.com
719,"Payne Pest Management, Inc.",858-277-2228,wpayne@paynepestmgmt.com
720,Peace of Mind Pest Control,866-757-8480,info@pomteam.com
721,Pegasus Pest Control,916-428-0578,None
722,"Pest Detective, Inc.",916-652-5987,pestdetective@sbcglobal.net
723,Pest Options Inc,714-224-7378,bthompson@pestoptions.com
724,Pest Solutions Termite & Pest Control,323-569-7496,mmpestsolutions@yahoo.com
725,Pestfinders,925-476-5410,jaimecol8@pestfinders.net
726,Pete's Termite & Pest Control,909-338-5270,currierp7@yahoo.com
727,"Preferred Termite Services, Inc.",408-532-6299,kim@preferredtermite.com
728,Prevention Inspection Services,415-370-9961,brethusted@yahoo.com
729,Prime Exterminators,408-275-0364,pat@primeexterminators.com
730,Professional Exterminators of No Cal,800-957-3787,norrup@msn.com
731,Proficient Termite Control,510-222-9199,ptc.pinole@yahoo.com
732,Proven Termite SolutionsWeed Enterprises Dba,408-929-1992,info@proventermitesolutions.com
733,"Quality Care Termite Control, Inc",949-348-8006,None
734,Quality Pest Control,909-593-4151,None
735,Quantum Termite & Construction,714-630-7416,marc@quantumtermite.com
736,Rid X Pest Disposal,661-729-3200,clbloodworth@gmail.com
737,Rob Bowlen Termite Co,925-383-6001,robbowlen@comcast.net
738,Robert May Termite/Pest Mgmt,909-337-0353,info@maypestcontrol.com
739,Rocklin Pest Control,916-630-1212,rocklinpestcontrol@sbcglobal.net
740,"Rodent Pest Technologies, Inc.",951-509-5594,angelot@rodentpesttech.com
741,Rousselle Inc.,562-692-0481,roussellefume@aol.com
742,Roy L Burge Inc,510-523-6100,burgepest@gmail.com
743,"Royal Termite Control, Inc.",626-284-4685,None
744,Ruddock's Termite Control,818-982-9827,None
745,Rush Termite & Pest Control,661-296-3393,rushtermite@yahoo.com
746,Safeguard PC/Mother Lode,209-267-1200,safegrd@goldrush.com
747,"SAM Termite, Inc.",805-728-5575,steve@samtermite.com
748,"Sandman Termite Co Inc, The",408-265-7400,sandman2102@aol.com
749,Scenic Coast Termite Control,805-226-8686,sctermite1@yahoo.com
750,Schork Inspection Services Inc.,707-571-8177,killabug4u@aol.com
751,Seacoast Termite & Pest Control,858-454-9563,bugmanlj@aol.com
752,"Sentry Termite &  Pest Control, Inc.",805-527-8002,John@sentrypestpros.com
753,Sheppard Termite Services,707-208-2102,sheppardtermite@sbcglobal.net
754,Sierra Termite Control Inc,562-493-5700,darrylschultz@mac.com
755,Silverado Termite Control,707-253-8949,silveradotermite@yahoo.com
756,"Simonsen Termite & Structural Pest Control, Inc.",415-524-6245,jeffsimonsen@sbcglobal.net
757,Sloan's Exterminators,805-647-4288,sloans1@sbcglobal.net
758,Sobrino's Termite & Pest Control,805-498-3026,sobrinotermite@verizon.net
759,Southwood Pest Control,714-579-7855,southwoodpest@aol.com
760,Squish It Termite,559-241-4900,sdziegiel@comcast.net
761,Standard Termite & Pest Ctl,530-626-9694,jerry@termiteandpest.com
762,Stellar Termite Services,707-575-7827,mike@stellar-termite.com
763,Steve Howell Termite Control,831-375-2115,SteveHowell@MontereyTermite.com
764,Strickland Termite Control,707-443-3831,stricktermite@gmail.com
765,Structural Termite & PC Inc,951-687-7413,dasbell@sbcglobal.net
766,Suncrest Exterminating,714-632-3600,officestaff@suncrestext.com
767,"Sunwest Exterminators, Inc.",951-789-6040,sunwestext@aol.com
768,T & T Exterminators,408-978-8669,termitesgo@sbcglobal.net
769,"Tanler Environmental Services, Inc",310-673-7378,daisy@tanlertermite.com
770,"Taps Termite & Pest Specialists, Inc.",408-259-5900,tapsterm@gmail.com
771,Target Pest Control,831-424-7308,None
772,"Taylor Brothers, Inc. dba RES-COM Pest  Control",559-685-8989,rescomceo@rescompestcontrol.com
773,Tech-No-Pest Co.,714-992-6806,gary@technopestco.com
774,"Tehachapi Pest Control, Inc.",661-822-6600,None
775,"Terminators Inc, The",408-298-3930,info@theterminators.com
776,Termite Inspection Experts,925-487-9153,fernandohr111@att.net
777,Termwright Structural PC,510-651-3702,termwright@gmail.com
778,The Buena Vista Company,707-838-6291,buenavco@aol.com
779,The Complete Termite Man,916-714-1164,completetermiteman@yahoo.com
780,The No Nonsense Termite Company Inc.,714-635-5111,nononsenseman@aol.com
781,The Termite Guy,949-940-1010,alex@877termite.com
782,The Termite King,310-985-0162,thetermiteking@yahoo.com
783,"Thrasher Termite & Pest Control of So Cal, Inc.",619-955-5121,info@thrasherpest.com
784,"Thrasher Termite/Pest Control, Inc.",408-354-9944,JThrasher@thrashertermite.com
785,"Tiger Termite Control, Inc.",909-597-6953,tigertermite@earthlink.net
786,Tombstone Termite,951-781-8662,mscgreens@charter.net
787,Top Notch Termite Co. Inc,619-282-8771,tnt@topnotchtermite.com
788,Total Exterminating Company,714-630-3215,total1donna@sbcglobal.net
789,Transaction Termite Inc,760-776-0850,termitesean@gmail.com
790,Tri County Pest Control,805-650-1550,acortez@tri-county-pest.com
791,Trinity Termite & Pest Control,530-222-6990,trinitytermite@yahoo.com
792,"Twin Termite, Pest Control & Construction, Inc.",916-344-8946,kyle@twintermite.com
793,Tyler Termite Control Inc.,408-927-6300  x10,mark@tylertermite.com
794,United Termite and Home Services,916-265-5300,pauljr@unitedths.com
795,Unix Exterminating Company,626-914-1986,jredenbaugh@ymail.com
796,Valley Pest Services DBA Pestmaster Services of Desert Valley,760-344-5839,pestmasterdv@sbcglobal.net
797,Valley View Termite Control,925-787-2118,valleyviewtc@gmail.com
798,Ventura Pest Control,805-656-1545,chuck@venturapest.com
799,Vester Pest Control,800-243-5993,armen@vesterpest.com
800,Victory Exterminating Inc,626-331-7288,bocking3@aol.com
801,Vista Termite,661-916-7456,vistatermite@gmail.com
802,"Vital Signs Prof Real Estate Serv., Inc.",310-326-6939,harold@vitalsignstermite.com
803,W.A. Stone Termite's  Alternative To Fumigation,760-743-2847,control@wastone.com
804,Wallace Termite & Construction,925-706-2424,wtcmite@comcast.net
805,We Care Pest Solutions,707-573-5899,bradwecare@comcast.net
806,Willis Exterminators,760-597-1031,willis.exterminators@gmail.com
807,Wine Country Termite & Pest Ctrl.,707-585-7955,judan95407@yahoo.com
808,Woodland-Davis Termite & PC,530-662-1234,jskowes@sbcglobal.net
809,Yamaguchi Termite Control,323-663-1161,pyamaguchi@earthlink.net
810,Year Around Termite & PC,310-542-4890,phil545@aol.com
811,Zap Termite & Pest Control,916-987-9094,mrzap@zappest.com
812,ZC & Associates Pest Control,650-992-1991,zchu@comcast.net
813,1st Stryke Pest & Termite Solutions,310-995-2896,info@1ststrykesolutions.com
814,49'er Pest Control,530-677-7923,49ertermiteandpestcontrol@gmail.com
815,AAI Termite & Pest Control Inc,209-545-0789,acctgrp@aaipest.com
816,"ABBA Termite & Pest Control, Inc.",562-698-9866,sam.bert@yahoo.com
817,"Access Exterminator Service, Inc.",714-630-6310,russ@accessext.com
818,Accu-Tech Exterminators,818-826-3329,marangonef@aol.com
819,Accurate Termite & Pest Solutions,707-725-3896,accuratepest707@gmail.com
